email_domain,school_name
bufs.ac.kr,부산외국어대학교
pufs.ac.kr,부산외국어대학교
bpu.ac.kr,부산장신대학교
bcu.ac.kr,부천대학교
365.ac.kr,부천대학교
cufs.ac.kr,사이버한국외국어대학교
syu.ac.kr,삼육대학교
syuin.ac.kr,삼육대학교
shu.ac.kr,삼육보건대학교
sangmyung.kr,상명대학교
sangji.ac.kr,상지대학교
sogang.ac.kr,서강대학교
skuniv.ac.kr,서경대학교
sou.ac.kr,서영대학교
snut.ac.kr,서울과학기술대학교
stu.ac.kr,서울과학기술대학교
assist.ac.kr,서울과학종합대학원대학교
stud.ac.kr,서울과학종합대학원대학교
snue.ac.kr,서울교육대학교
scui.ac.kr,서울기독대학교
snu.ac.kr,서울대학교
sdu.ac.kr,서울디지털대학교
iscu.ac.kr,서울사이버대학교
uos.ac.kr,서울시립대학교
office.stu.ac.kr,서울신학대학교
snjc.ac.kr,서울여자간호대학교
swu.ac.kr,서울여자대학교
staff.seoularts.ac.kr,서울예술대학교
sjs.ac.kr,서울장신대학교
shyu.ac.kr,서울한영대학교
seowon.ac.kr,서원대학교
seoil.ac.kr,서일대학교
seojeong.ac.kr,서정대학교
,선린대학교
sunmoon.ac.kr,선문대학교
sungkyul.ac.kr,성결대학교
skhu.ac.kr,성공회대학교
skku.ac.kr,성균관대학교
sungshin.ac.kr,성신여자대학교
,성운대학교
,세경대학교
sem.ac.kr,세명대학교
semyung.ac.kr,세명대학교
sejong.ac.kr,세종대학교
sju.ac.kr,세종대학교
sjcu.ac.kr,세종사이버대학교
office.sehan.ac.kr,세한대학교
songgok.ac.kr,송곡대학교
office.songwon.ac.kr,송원대학교
,송호대학교
sc.ac.kr,수성대학교
suwoncatholic.ac.kr,수원가톨릭대학교
ssc.ac.kr,수원과학대학교
suwon.ac.kr,수원대학교
swwu.ac.kr,수원여자대학교
sm.ac.kr,숙명여자대학교
sookmyung.ac.kr,숙명여자대학교
,순복음총회신학교
suncheon.ac.kr,순천제일대학교
sch.ac.kr,순천향대학교
ssu.ac.kr,숭실대학교
soongsil.ac.kr,숭실대학교
msoffice.kcu.ac,숭실사이버대학교
sewu.ac.kr,숭의여자대학교
,신경주대학교
sg.shingu.ac.kr,신구대학교
silla.ac.kr,신라대학교
sillain.ac.kr,신라대학교
,신성대학교
sau.ac.kr,신안산대학교
shinhan.ac.kr,신한대학교
acts.university,아신대학교
ajou.ac.kr,아주대학교
motor.ac.kr,아주자동차대학교
asc.ac.kr,안동과학대학교
ansan.ac.kr,안산대학교
anyang.ac.kr,안양대학교
yit.ac.kr,여주대학교
ianyang.ac.kr,연성대학교
yeonsung.ac.kr,연성대학교
yonsei.ac.kr,연세대학교
yonsei.ac.kr,연세대학교(미래)
yc.ac.kr,연암공과대학교
yonam.ac.kr,연암대학교
yeungnam.ac.kr,영남대학교
ynu.ac.kr,영남대학교
,영남신학대학교
,영남외국어대학
ync.ac.kr,영남이공대학교
office.ysu.ac.kr,영산대학교(양산)
gm.ysu.ac.kr,영산대학교(양산)
ysu.ac.kr,영산대학교(양산)
office.ysu.ac.kr,영산대학교(해운대)
gm.ysu.ac.kr,영산대학교(해운대)
ysu.ac.kr,영산대학교(해운대)
,영산선학대학교
,영진사이버대학교
g.yju.ac.kr,영진전문대학교
jesus.ac.kr,예수대학교
yewon.ac.kr,예원예술대학교
portal.osan.ac.kr,오산대학교
yi.ac.kr,용인대학교
yiu.ac.kr,용인대학교
yasu.ac.kr,용인예술과학대학교
woosuk.ac.kr,우석대학교
wsu.ac.kr,우송대학교
wsi.ac.kr,우송정보대학
unist.ac.kr,울산과학기술원
o365.kr,울산과학대학교
ulsan.ac.kr,울산대학교
wat.ac.kr,웅지세무대학교
wku.ac.kr,원광대학교
wonkwang.ac.kr,원광대학교
,원광디지털대학교
wu.ac.kr,원광보건대학교
edu.uu.ac.kr,위덕대학교
u1.ac.kr,유원대학교
yuhan.ac.kr,유한대학교
portal.eulji.ac.kr,을지대학교
ewha.ac.kr,이화여자대학교
induk.ac.kr,인덕대학교
inje.ac.kr,인제대학교
,인천가톨릭대학교
inu.ac.kr,인천대학교
incheon.ac.kr,인천대학교
itc.ac.kr,인하공업전문대학
